seed,comparison,n_positive,n_negative,test_auroc,test_auprc,test_f1,test_precision,test_recall,positive_score_median,negative_score_median,negative_score_iqr,positive_size_median,negative_size_median,negative_size_iqr
14,corrupted pathway,108,54,0.5261488340192044,0.6697887427387682,0.5925925925925926,0.691358024691358,0.5185185185185185,0.5045587420463562,0.49417051672935486,0.437-0.533,14.0,13.0,9.0-31.5
14,cross pathway mixture,108,54,0.578360768175583,0.7508090256023014,0.5957446808510638,0.7,0.5185185185185185,0.5045587420463562,0.47566407918930054,0.440-0.516,14.0,10.0,7.0-13.8
15,All mixed negatives,108,216,0.5055941358024691,0.3380934380900157,0.38524590163934425,0.34558823529411764,0.4351851851851852,0.4825952649116516,0.4724295139312744,0.457-0.613,17.5,14.0,8.0-28.0
15,empirical size matched random,108,54,0.44521604938271603,0.6229015847572497,0.5222222222222223,0.6527777777777778,0.4351851851851852,0.4825952649116516,0.4826936721801758,0.461-0.679,17.5,18.0,9.2-41.2
15,full replacement shuffled,108,54,0.48602537722908085,0.6628751520393164,0.5222222222222223,0.6527777777777778,0.4351851851851852,0.4825952649116516,0.4775615930557251,0.461-0.615,17.5,20.0,10.0-37.5
15,corrupted pathway,108,54,0.4739368998628258,0.6488946933425992,0.5164835164835165,0.6351351351351351,0.4351851851851852,0.4825952649116516,0.49382948875427246,0.461-0.616,17.5,18.0,9.0-39.0
15,cross pathway mixture,108,54,0.6171982167352539,0.7892005484088965,0.562874251497006,0.7966101694915254,0.4351851851851852,0.4825952649116516,0.4635085463523865,0.441-0.486,17.5,9.0,8.0-14.0
16,All mixed negatives,108,216,0.5298139574759945,0.3444718454997852,0.3813559322033898,0.3515625,0.4166666666666667,0.4806855022907257,0.4776531755924225,0.457-0.578,16.0,13.0,7.8-30.0
16,empirical size matched random,108,54,0.49245541838134427,0.639470280119111,0.5,0.625,0.4166666666666667,0.4806855022907257,0.5039407014846802,0.458-0.655,16.0,13.5,8.0-31.5
16,full replacement shuffled,108,54,0.4582475994513031,0.6318133052390938,0.5,0.625,0.4166666666666667,0.4806855022907257,0.5039407014846802,0.458-0.664,16.0,17.5,8.2-33.0
16,corrupted pathway,108,54,0.5054012345679012,0.6758864027485496,0.5172413793103449,0.6818181818181818,0.4166666666666667,0.4806855022907257,0.4776531755924225,0.458-0.583,16.0,15.0,9.0-32.8
16,cross pathway mixture,108,54,0.6631515775034293,0.8087443630526931,0.5590062111801242,0.8490566037735849,0.4166666666666667,0.4806855022907257,0.4585784077644348,0.450-0.479,16.0,8.0,6.0-14.0
17,All mixed negatives,108,216,0.5110596707818931,0.35062657773132055,0.4424778761061947,0.3246753246753247,0.6944444444444444,0.5251401662826538,0.5251052379608154,0.457-0.570,16.5,13.0,8.0-33.0
17,empirical size matched random,108,54,0.4753943758573388,0.6344956442249786,0.6787330316742082,0.6637168141592921,0.6944444444444444,0.5251401662826538,0.5281319618225098,0.457-0.613,16.5,14.0,9.2-49.2
17,full replacement shuffled,108,54,0.568758573388203,0.7473685167538403,0.6880733944954128,0.6818181818181818,0.6944444444444444,0.5251401662826538,0.524627685546875,0.457-0.559,16.5,14.0,9.0-32.8
17,corrupted pathway,108,54,0.4252400548696844,0.6358215796634459,0.6578947368421053,0.625,0.6944444444444444,0.5251401662826538,0.5310888290405273,0.514-0.613,16.5,22.0,9.2-39.5
17,cross pathway mixture,108,54,0.5748456790123457,0.7597043175250484,0.6787330316742082,0.6637168141592921,0.6944444444444444,0.5251401662826538,0.5241501927375793,0.457-0.525,16.5,8.5,6.2-13.5
18,All mixed negatives,108,216,0.5429312414266118,0.3696371709517149,0.38222222222222224,0.36752136752136755,0.39814814814814814,0.49489617347717285,0.47686493396759033,0.434-0.524,14.0,11.0,8.0-25.0
18,empirical size matched random,108,54,0.5685871056241427,0.7098444549688666,0.5149700598802395,0.7288135593220338,0.39814814814814814,0.49489617347717285,0.46255433559417725,0.416-0.523,14.0,10.5,6.0-24.8
18,full replacement shuffled,108,54,0.47273662551440326,0.6460337529221853,0.49142857142857144,0.6417910447761194,0.39814814814814814,0.49489617347717285,0.49489617347717285,0.434-0.554,14.0,17.5,8.0-27.0
18,corrupted pathway,108,54,0.5054012345679013,0.6771788828511446,0.4942528735632184,0.6515151515151515,0.39814814814814814,0.49489617347717285,0.49192315340042114,0.434-0.548,14.0,13.5,9.2-39.8
18,cross pathway mixture,108,54,0.625,0.7936148768748619,0.5308641975308642,0.7962962962962963,0.39814814814814814,0.49489617347717285,0.4524838924407959,0.433-0.495,14.0,9.0,6.0-10.8
19,All mixed negatives,108,216,0.5298782578875172,0.36107186643441247,0.40298507462686567,0.3375,0.5,0.4985927939414978,0.49610477685928345,0.462-0.552,16.0,14.0,8.0-23.0
19,empirical size matched random,108,54,0.5465534979423867,0.6832595549749595,0.574468085106383,0.675,0.5,0.4985927939414978,0.49259933829307556,0.457-0.552,16.0,14.0,8.0-30.8
19,full replacement shuffled,108,54,0.4957990397805212,0.6675568329263931,0.5714285714285714,0.6666666666666666,0.5,0.4985927939414978,0.504690945148468,0.467-0.552,16.0,14.5,10.0-27.0
19,corrupted pathway,108,54,0.5472393689986282,0.700615571335785,0.5806451612903226,0.6923076923076923,0.5,0.4985927939414978,0.4890938997268677,0.463-0.552,16.0,14.0,9.0-23.0
19,cross pathway mixture,108,54,0.5299211248285323,0.730714782692832,0.5654450261780105,0.6506024096385542,0.5,0.4985927939414978,0.5086972713470459,0.474-0.525,16.0,10.5,8.0-14.0
20,All mixed negatives,108,216,0.5330718449931413,0.3666645458643542,0.411522633744856,0.37037037037037035,0.46296296296296297,0.47060105204582214,0.4522758424282074,0.434-0.545,19.5,12.0,9.0-26.5
20,empirical size matched random,108,54,0.5284636488340192,0.7065432013976134,0.5555555555555556,0.6944444444444444,0.46296296296296297,0.47060105204582214,0.44733545184135437,0.444-0.554,19.5,15.0,10.0-35.8
20,full replacement shuffled,108,54,0.5195473251028807,0.6708268655454461,0.5586592178770949,0.704225352112676,0.46296296296296297,0.47060105204582214,0.4522758424282074,0.433-0.586,19.5,13.5,9.0-45.2
20,corrupted pathway,108,54,0.4783093278463649,0.6547617225726038,0.546448087431694,0.6666666666666666,0.46296296296296297,0.47060105204582214,0.45574715733528137,0.445-0.597,19.5,15.0,9.0-45.2
20,cross pathway mixture,108,54,0.6059670781893004,0.7907787489039247,0.5714285714285714,0.746268656716418,0.46296296296296297,0.47060105204582214,0.4522758424282074,0.433-0.512,19.5,10.0,7.0-12.0
